				
	Етап 1. Ідентифікація ризиків розроблення ПЗ			
			ЕСЛИ(СЛЧИС()>0,5;1;0)	
	1.1. Визначення можливих джерел появи ризиків			
				
	1	Множина джерел появи технічних ризиків	7	38.89%
	1	 функціональні характеристики ПЗ,	1	
	2	 характеристики якості ПЗ,	1	
	3	 характеристики надійності ПЗ,	1	
	4	 застосовність ПЗ,	1	
	5	 часова продуктивність ПЗ,	1	
	6	 супроводжуваність ПЗ,	1	
	7	 повторне використання компонент ПЗ;	1	
	2	Множина джерел появи вартісних ризиків	3	16.67%
	1	 обмеження сумарного бюджету на програмний проект,	1	
	2	 недоступна вартість реалізації програмного проекту,	1	
	3	низька ступінь реалізму при оцінюванні витрат на програмний проект;	1	
	3	Множина джерел появи планових ризиків	3	16.67%
	1	 властивості та можливості гнучкості внесення змін до планів життєвого циклу розроблення ПЗ,	1	
	2	 можливості порушення встановлених термінів реалізації етапів життєвого циклу розроблення ПЗ,	1	
	3	 низька ступінь реалізму при встановленні планів і етапів життєвого циклу розроблення ПЗ;	1	
	4	Множина джерел появи ризиків реалізації процесу управління програмним проектом	5	27.78%
	1	 хибна стратегія реалізації програмного проекту,	1	
	2	 неефективне планування проекту розроблення ПЗ,	1	
	3	 неякісне оцінювання програмного проекту,	1	
	4	 прогалини в документуванні етапів реалізації програмного проекту,	1	
	5	 промахи в прогнозуванні результатів реалізації програмного проекту.	1	
			18	100.00%
				
	1.2. Ідентифікація потенційних ризикових подій			
	1	Множина настання технічних ризикових подій	11	26.83%
	1	 затримки у постачанні обладнання, необхідного для підтримки процесу розроблення ПЗ;	1	
	2	 затримки у постачанні інструментальних засобів, необхідних для підтримки процесу розроблення ПЗ;	1	
	3	 небажання команди виконавців використовувати інструментальні засоби для підтримки процесу розроблення ПЗ;	1	
	4	 формування запитів на більш потужні інструментальні засоби розроблення ПЗ;	1	
	5	 відмова команди виконавців від CASE-засобів розроблення ПЗ;	1	
	6	 неефективність програмного коду, згенерованого CASE-засобами розроблення ПЗ;	1	
	7	 неможливість інтеграції CASE-засобів з іншими інструментальними засобами для підтримки процесу розроблення ПЗ;	1	
	8	 недостатня продуктивність баз(и) даних для підтримки процесу розроблення ПЗ;	1	
	9	 програмні компоненти, які використовують повторно в ПЗ, мають дефекти та обмежені функціональні можливості;	1	
	10	 швидкість виявлення дефектів у програмному коді є нижчою від раніше запланованих термінів;	1	
	11	 поява дефектних системних компонент, які використовують для розроблення ПЗ;	1	
	2	Множина настання вартісних ризикових подій	7	17.07%
	1	 недо(пере)оцінювання витрат на реалізацію програмного проекту (надмірно низька вартість);	1	
	2	 фінансові ускладнення у компанії-замовника ПЗ;	1	
	3	 фінансові ускладнення у компанії-розробника ПЗ;	1	
	4	змен(збіль)шення бюджету програмного проекта з ініціативи компанії-замовника ПЗ під час його реалізації;	1	
	5	 висока вартість виконання повторних робіт, необхідних для зміни вимог до ПЗ;	1	
	6	 реорганізація структурних підрозділів у компанії-замовника ПЗ;	1	
	7	 реорганізація команди виконавців у компанії-розробника ПЗ;	1	
	3	Множина настання планових ризикових подій	9	21.95%
	1	 зміни графіка виконання робіт з боку замовника чи розробника ПЗ;	1	
	2	 порушення графіка виконання робіт з боку компанії-розробника ПЗ;	1	
	3	 потреба зміни користувацьких вимог до ПЗ з боку компанії-замовника ПЗ;	1	
	4	 потреба зміни функціональних вимог до ПЗ з боку компанії-розробника ПЗ;	1	
	5	 потреба виконання великої кількості повторних робіт, необхідних для зміни вимог до ПЗ;	1	
	6	недо(пере)оцінювання тривалості етапів реалізації програмного проекту з боку компанії-замовника ПЗ;	1	
	7	 остаточний розмір ПЗ значно перевищує (менший від) заплановані(их) його характеристики;	1	
	8	 поява на ринку аналогічного ПЗ до виходу замовленого;	1	
	9	 поява на ринку більш конкурентоздатного ПЗ;	1	
	4	Множина настання ризикових подій реалізації процесу управління програмним проектом	14	34.15%
	1	 низький моральний стан персоналу команди виконавців ПЗ;	1	
	2	 низька взаємодія між членами команди виконавців ПЗ;	1	
	3	 пасивність керівника (менеджера) програмного проекту;	1	
	4	 недостатня компетентність керівника (менеджера) програмного проекту;	1	
	5	 незадоволеність замовника результатами етапів реалізації програмного проекту;	1	
	6	 недостатня кількість фахівців у команді виконавців ПЗ з необхідним професійним рівнем;	1	
	7	 хвороба провідного виконавця в найкритичніший момент розроблення ПЗ;	1	
	8	 одночасна хвороба декількох виконавців підчас розроблення ПЗ;	1	
	9	 неможливість організації необхідного навчання персоналу команди виконавців ПЗ;	1	
	10	 зміна пріоритетів у процесі управління програмним проектом;	1	
	11	недо(пере)оцінювання необхідної кількості розробників (підрядників і субпідрядників) на етапах життєвого циклу розроблення ПЗ;	1	
	12	недостатнє (надмірне) документування результатів на етапах реалізації програмного проекту;	1	
	13	 нереалістичне прогнозування результатів на етапах реалізації програмного проекту;	1	
	14	 недостатній професійний рівень представників від компанії-замовника ПЗ.	1	
			41	100.00%
