затримки у постачанні обладнання, необхідного для підтримки процесу розроблення ПЗ;	0.98
затримки у постачанні інструментальних засобів, необхідних для підтримки процесу розроблення ПЗ;	0.75
небажання команди виконавців використовувати інструментальні засоби для підтримки процесу розроблення ПЗ;	0.56
формування запитів на більш потужні інструментальні засоби розроблення ПЗ;	0.30
відмова команди виконавців від CASE-засобів розроблення ПЗ;	0.64
неефективність програмного коду, згенерованого CASE-засобами розроблення ПЗ;	0.54
неможливість інтеграції CASE-засобів з іншими інструментальними засобами для підтримки процесу розроблення ПЗ;	0.35
недостатня продуктивність баз(и) даних для підтримки процесу розроблення ПЗ;	0.40
програмні компоненти, які використовують повторно в ПЗ, мають дефекти та обмежені функціональні можливості;	0.51
швидкість виявлення дефектів у програмному коді є нижчою від раніше запланованих термінів;	0.35
поява дефектних системних компонент, які використовують для розроблення ПЗ;	0.67
недо(пере)оцінювання витрат на реалізацію програмного проекту (надмірно низька вартість);	0.43
фінансові ускладнення у компанії-замовника ПЗ;	0.39
фінансові ускладнення у компанії-розробника ПЗ;	0.72
змен(збіль)шення бюджету програмного проекта з ініціативи компанії-замовника ПЗ під час його реалізації;	0.90
висока вартість виконання повторних робіт, необхідних для зміни вимог до ПЗ;	0.40
реорганізація структурних підрозділів у компанії-замовника ПЗ;	0.36
реорганізація команди виконавців у компанії-розробника ПЗ;	0.46
зміни графіка виконання робіт з боку замовника чи розробника ПЗ;	0.35
порушення графіка виконання робіт з боку компанії-розробника ПЗ;	0.71
потреба зміни користувацьких вимог до ПЗ з боку компанії-замовника ПЗ;	0.30
потреба зміни функціональних вимог до ПЗ з боку компанії-розробника ПЗ;	0.65
потреба виконання великої кількості повторних робіт, необхідних для зміни вимог до ПЗ;	0.27
недо(пере)оцінювання тривалості етапів реалізації програмного проекту з боку компанії-замовника ПЗ;	0.23
остаточний розмір ПЗ значно перевищує (менший від) заплановані(их) його характеристики;	0.45
поява на ринку аналогічного ПЗ до виходу замовленого;	0.73
поява на ринку більш конкурентоздатного ПЗ;	0.85
низький моральний стан персоналу команди виконавців ПЗ;	0.28
низька взаємодія між членами команди виконавців ПЗ;	0.59
пасивність керівника (менеджера) програмного проекту;	0.95
недостатня компетентність керівника (менеджера) програмного проекту;	0.68
незадоволеність замовника результатами етапів реалізації програмного проекту;	0.27
недостатня кількість фахівців у команді виконавців ПЗ з необхідним професійним рівнем;	0.42
хвороба провідного виконавця в найкритичніший момент розроблення ПЗ;	0.92
одночасна хвороба декількох виконавців підчас розроблення ПЗ;	0.64
неможливість організації необхідного навчання персоналу команди виконавців ПЗ;	0.66
зміна пріоритетів у процесі управління програмним проектом;	0.42
недо(пере)оцінювання необхідної кількості розробників (підрядників і субпідрядників) на етапах життєвого циклу розроблення ПЗ;	0.62
недостатнє (надмірне) документування результатів на етапах реалізації програмного проекту;	0.96
нереалістичне прогнозування результатів на етапах реалізації програмного проекту;	0.78
недостатній професійний рівень представників від компанії-замовника ПЗ.	0.70
